,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,
1734,Praise God,Donda,Kanye West,2021-08-29,USUM72116287,1208,43.1,451323154,143071,22968843,67,75632640,1192980,1232812,540795852,4707280248,144247309,24,1395,182,10,38020,25,14923065,9847,,3075257,0,
1735,Hurricane,Donda,Kanye West,2021-08-29,USUM72116311,2549,28,404497617,108795,16231758,62,45337894,615908,20272,10266783,91838300,506294,51,33710,185,16,456029,24,11239141,5307,,1304734,0,
1736,Off The Grid,Donda,Kanye West,2021-08-29,USUM72116304,3118,24.7,266927787,105664,14849590,62,39769157,574676,13989,11319222,93786735,33398158,27,8377,74,11,45143,10,1751851,2673,,627751,0,
1737,Moon,Donda,Kanye West,2021-08-29,USUM72116291,3329,23.8,300082779,103366,12996384,65,26665548,457381,35728,30439067,259653952,20581,25,634,2,5,3899,10,2857813,4005,,427988,0,
1738,True Love,True Love,Kanye West,2022-05-27,USQX92202485,2884,26,269363579,84173,16979097,70,3464827,61192,162,39781,139748,197936,14,2567,300,10,99320,13,7132702,3069,,706611,0,
1749,"Photo (From ""Luka Chuppi"")","Photo (From ""Luka Chuppi"")",Karan Sehmbi,2019-12-02,INS181900313,1149,44.3,72849488,9804,2252266,54,329389939,2348757,11600000,10188221,246534268,93651376,13,646,,,,3,,,,215757,0,
1750,Baila,Baila,Karl Wine,2020-07-31,TCAFA2047032,631,60.5,2947162,2732,204717,,12422083,154802,14006256,151549836,1846083524,,,,,,,,,,,1322093,0,
1751,A Ella,A Ella,KAROL G,2017-05-05,USUM71703010,4456,19.7,365062854,18085,10037406,71,893949453,3847991,69294,7236983,109160109,117031962,20,1956,32,12,245806,14,57470493,19752,2498936,501725,0,
1752,Ahora Me Llama,Ahora Me Llama,KAROL G,2017-05-26,USUM71703012,3208,24.3,338782953,37015,12386097,64,1100136050,4740945,74386,9505223,99920646,157434221,25,1822,7,15,86989,10,89151096,22315,,1724227,1,
1753,Mi Cama,Mi Cama,KAROL G,2018-11-05,USUM71806196,2881,26,224367887,21036,7372736,57,1159610485,6061105,136001,8220385,99044675,208104840,31,5993,219,23,96307,19,17465106,13197,,1291228,0,
1754,Ocean,OCEAN,KAROL G,2019-03-05,USUM71904901,2149,31,312111545,30520,12759646,66,722096242,5368740,2197372,51993051,661920679,25343710,32,5415,392,28,148329,19,62924532,59516,,1139084,0,
1755,Tusa,Tusa,KAROL G,2019-07-11,USUM71921183,323,85.2,1497511486,157185,59187880,68,1816772749,12498062,1636079,39086388,414336041,458694827,232,150990,111,256,1274272,83,104611041,127399,,7663807,0,
1756,BICHOTA,BICHOTA,KAROL G,2020-10-23,USUM72019324,385,77.8,868091483,86379,31261057,64,1591945481,7916193,1586770,101362709,1153849236,172943996,133,36028,239,38,1594172,33,70065986,48232,,1740278,1,
1757,EL MAKINON,EL MAKINON,KAROL G,2021-03-24,USUM72023904,596,62,574357002,69491,28426363,69,1180418876,5566219,487000,56713955,627030538,594246368,91,32815,32,41,2363366,40,56426614,11335,,1161001,0,
1758,EL BARCO,EL BARCO,KAROL G,2021-03-25,USUM72023902,1780,34.5,304116211,21517,8048081,72,692863553,2439195,186881,13802946,184413760,716282244,32,5957,105,10,2012566,14,47500299,14392,,701730,0,
1759,SEJODIOTO,SEJODIOTO,KAROL G,2021-09-21,USUM72117129,4533,19.6,350738636,29760,11290192,66,154323126,1697768,214500,29252686,351428481,12339929,42,19998,285,20,175016,27,47444595,7262,,571685,1,
1760,LOCATION,LOCATION,KAROL G,2021-12-02,USUM72023897,2551,28,236644328,36130,7600107,50,525752748,3073337,182529,34209228,329180615,25193373,56,29536,18,17,120355,36,9793641,3562,,962269,1,
1761,PROVENZA,PROVENZA,KAROL G,2022-04-22,USUM72205906,151,123.8,1185929926,103026,64847502,76,1229843060,5870729,1300337,251445963,2829294043,763687717,115,130158,688,75,7349218,90,92136339,29371,,3397861,0,
1762,CAIRO,CAIRO,KAROL G,2022-11-13,USUM72220925,904,50.7,443093379,35995,21160001,72,273852759,1690512,625126,42735677,600184949,11558006,58,52189,125,26,2263487,36,24842372,3643,1653982,1174788,1,
1768,Hot N Cold,NOW 29,Katy Perry,2008-01-01,USCA20802544,2998,25.4,886077008,154757,77671100,69,1332106664,6819005,1577918,214177361,2238389974,1586859597,80,221043,248,55,533088,17,323997472,217322,,6740918,0,
1769,Firework,Teenage Dream,Katy Perry,2010-01-01,USCA21001262,1534,37.5,1065375074,164650,60511467,67,1634743568,9202767,1219259,73578788,686049802,537338959,218,238231,273,94,1066131,96,417594591,1065952,1020201,8932134,0,
1770,Last Friday Night (T.G.I.F.),Teenage Dream,Katy Perry,2010-01-01,USCA21001264,2084,31.6,1144535829,170779,83827327,71,1604084148,8081370,96013,58785473,592235618,1563364588,85,120606,79,40,395080,31,352629859,633232,,4134026,0,
1771,The One That Got Away,Teenage Dream,Katy Perry,2010-01-01,USCA21001266,4172,20.7,921351898,110426,34757269,67,1126799119,5603400,110393,54883634,397746382,528140571,40,25625,16,21,81354,16,302855271,220209,,4674619,0,
1772,Wide Awake,538 Hitzone 63,Katy Perry,2012-01-01,USCA21200932,3681,22.3,447997798,47976,35749050,73,1129883893,5231385,53680,9846261,63097743,248321862,29,29375,115,14,144663,22,486860037,304919,,4506047,0,
1773,Roar,2013 The Hottest,Katy Perry,2013-01-01,USUM71308669,725,56.9,1156191242,146653,68107488,73,4386626671,19822950,508860,37113271,385015724,1885297710,237,248383,284,134,832419,83,,,,1261,0,
1774,Dark Horse,PRISM,Katy Perry,2013-01-01,USUM71311296,3162,24.5,1445950326,185843,59242561,74,248178591,2292757,174645,115612448,984530315,,102,158891,453,86,600026,31,,,32936048,19991903,0,
1775,Chained To The Rhythm,Chained To The Rhythm,Katy Perry,2017-10-02,USUM71700560,3354,23.7,571538542,59626,15052991,64,798537539,5042041,25893,15112958,68206300,195190281,100,84986,15,48,173715,24,58782918,33474,,8340225,0,
1776,RUNAWAY,RUNAWAY,KAYDEN,2022-03-14,QZDA42277779,1656,35.9,3508819,1705,104043,32,706350,13028,4500102,76555716,1851606354,,,2,,,,,1641,,,56362,0,
1778,BANZAI!,BANZAI!,Kazuo,2022-12-24,JPWP02202338,2769,26.7,118164,91,607,10,341971709,1203797,4,2599,20739,8732,,11,,,,,,,,,1,
1780,This Is Me,This Is Me,Keala Settle,2017-10-27,USAT21704622,2852,26.2,809894358,80591,19776253,66,622964718,4716659,18442,1528788,16464069,41140493,71,36683,,20,48491,21,84821836,183702,126042,3165985,0,
1784,Tak Ingin Usai,Tak Ingin Usai,Keisya Levronka,2022-05-13,IDUM72200112,4281,20.4,265767551,15498,5060429,63,154689466,1539974,609748,273895600,3276084075,45889,16,5371,,,,,,,,223331,0,
1788,Money Trees,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,2012-01-01,USUM71210785,2167,30.8,1476217041,352198,59811242,75,385175377,3054056,1174942,197659809,1484578640,9778,117,188,7,32,565677,13,304362215,166654,,6010383,1,
1789,Swimming Pools (Drank),"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,2012-01-01,USUM71207642,3227,24.2,731646994,157106,24325603,75,149345457,1143981,40220,10917801,87387158,395108,62,126,21,27,47780,14,665742058,753880,,6577435,1,
1790,HUMBLE.,HUMBLE.,Kendrick Lamar,2017-03-31,USUM71703085,466,71.4,2226869580,311766,77191099,80,1281355260,11551257,1180701,90304316,769720113,209307607,357,84979,692,111,657065,94,562540114,476433,,7692756,1,
1791,LOVE. FEAT. ZACARI.,DAMN.,Kendrick Lamar,2017-04-14,USUM71703088,2014,32.1,1343672718,207632,54635449,79,,,276521,31536387,221728131,,146,51323,,45,235755,38,466010009,134197,,5928064,1,
1792,DNA.,DAMN.,Kendrick Lamar,2017-04-14,USUM71703079,2184,30.7,1157112366,185660,44429618,75,356343325,3573193,86503,11663427,97997064,165019302,191,340,63,45,179785,34,318401958,128722,,2244068,1,
1793,LOYALTY. FEAT. RIHANNA.,DAMN.,Kendrick Lamar,2017-04-14,USUM71703086,4380,20,669703929,101138,18743066,73,234757944,2316992,40,10010,73180,186613935,159,5783,,37,147634,24,234306133,67483,4369805,2302809,1,
1794,All The Stars (with SZA),All The Stars (with SZA),Kendrick Lamar,2018-04-01,USUM71713947,1304,41.2,1638529683,207686,66120497,82,633789787,5683859,39792,33196158,211875110,75594850,152,10256,39,73,194391,52,139392569,70103,,8746447,1,
1795,N95,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,USUM72208963,1194,43.4,426936498,118020,24734503,74,124386115,2134071,34724,16024927,186922543,1303000868,48,13141,122,21,357536,45,8689010,3163,,1452569,1,
1796,Die Hard,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,USUM72208965,2107,31.4,318340376,83638,10749840,71,43714392,491664,3974,1738489,11351079,7985091,36,57147,121,8,116857,33,11750858,3197,,1032548,1,
1797,Rich Spirit,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,USUM72208971,2437,28.9,254191262,68188,10639841,71,66231224,1090031,19580,2720712,33984850,38505821,23,3925,35,7,165039,27,12592517,4106,6055815,555350,1,
1798,United In Grief,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,USUM72208961,2578,27.8,246425341,81509,7710812,71,38465606,807082,108559,43090164,342828836,34138596,5,732,11,3,15986,6,2364415,2500,,1169011,1,
1799,Silent Hill,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,USUM72208981,2933,25.7,151507054,63279,7054692,63,46312741,658950,4105,2019515,19198685,299341436,24,53408,663,4,44675,22,34835337,5706,,641828,1,
1800,Count Me Out,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,USUM72208980,3049,25.1,201021118,64247,6844165,72,88574109,1615761,7308,2928037,20521498,109458351,7,890,25,4,43191,7,8547683,3071,,576996,1,
1801,The Heart Part 5,The Heart Part 5,Kendrick Lamar,2022-08-05,USUM72208318,4470,19.7,89806639,41371,4068649,59,55825164,2131185,12094,5344281,49727704,470940171,21,172,28,9,104775,23,2152456,1174,8141454,303787,1,
1805,Malas Decisiones,K23,Kenia OS,2022-10-27,MXF012200331,2246,30.2,249199925,15573,11736236,68,141829637,1346158,1093900,310175951,3326289021,35896326,21,7079,479,15,100850,4,167084,654,,576456,0,
1808,Lemon,Lemon,Kenshi Yonezu,2018-03-14,JPU901800227,4108,21,194955459,27767,4609513,63,918297076,3387075,10560,2261247,19949350,585794619,39,1953,,3,7049,4,163464,594,,608684,0,
1809,KICK BACK,KICK BACK,Kenshi Yonezu,2022-12-10,JPU902203702,1469,38.2,360816226,61627,7633366,70,171459970,1769697,242682,120113199,1353881739,539775263,35,2928,,8,54591,4,880678,2564,317508,486018,0,
1810,Don't Mind,EPIC AF,Kent Jones,2016-01-01,USSM11603011,2725,27,416147244,59100,10161185,59,179143462,1567574,6149383,38201187,188910778,51485355,72,264,,17,71207,2,271379282,186183,,7577629,1,
1812,WA DA DA,FIRST IMPACT,Kep1er,2022-03-01,KRA492101456,4043,21.2,172657413,16436,4057129,54,272201730,4399092,386666,228532871,1992357477,132153989,17,2619,148,3,6338,2,415556,423,,445034,0,
1814,TiK ToK,TiK ToK,Kesha,2009-07-08,USRC10900433,4226,20.5,1204914998,198352,129620346,80,206057670,1772119,1086581,138077337,1322923785,7243317,194,171829,130,122,2291036,77,230228038,386750,,7150174,0,
1815,2 Phones,2 Phones,Kevin Gates,2015-06-11,USAT21503158,3083,24.9,384977271,71685,12302836,61,54470349,646820,99563,19991242,129310076,,46,424,28,4,3857,10,344533623,282610,77602717,1751139,1,
1816,Big Gangsta,Big Gangsta,Kevin Gates,2019-05-17,USAT21902781,4454,19.8,199248929,60481,4931520,56,261079023,2146409,609586,85181373,713540521,791982,8,2,,6,6125,1,106702648,61855,,1423575,1,
1817,Monkeys Spinning Monkeys,SteamFun - Single,Kevin MacLeod,2011-05-16,USUAN1400011,1018,47.6,11477477,7679,1490705,36,11457166,123604,31963934,23474223833,233000000000,1418397,4,2557,,1,43207,1,,,,1177639,0,
1818,Hasta Abajo,Hasta Abajo,KEVIN ROLDAN,2019-07-26,USUM71913434,2702,27.1,380367132,62939,11576619,64,663705750,3083081,542284,65038406,495501340,109211682,27,2027,,8,59407,1,1082805,1980,,1389750,0,
1819,Ambition For Cash,Ambition For Cash,Key Glock,2021-01-10,USUYG1390429,3835,21.8,315336758,79303,26443727,70,29058447,408335,104301,108992382,1234944902,164103568,30,5328,117,3,7312,4,9860446,2531,,1286750,1,
1821,Location,Location,Khalid,2016-05-24,TCACO1662934,760,55.6,1369299352,169370,32275029,71,815137609,5138837,80456,17516516,77860109,170885369,188,50322,119,63,235041,53,471086924,389023,122419042,4283369,0,
1822,Young Dumb & Broke,The RCA-List (Vol. 5),Khalid,2017-01-01,USRC11700144,881,51.4,1527159800,187813,83108168,76,1270330281,8766754,194595,27581217,216666194,189783592,172,31081,185,47,604640,26,410189803,283135,9133063,6513209,0,
1823,Love Lies (with Normani),Love Lies,Khalid,2018-02-14,USRC11703646,1865,33.6,937339123,96612,21547967,67,479514227,3606789,191838,8019207,56608149,88739909,82,177635,182,48,194316,68,418186255,99110,,5381698,1,
1824,OTW,OTW,Khalid,2018-04-20,USRC11801716,4087,21,623201391,89059,15406560,63,221457313,1349006,10462,916392,10583591,14234132,57,14634,11,23,135840,7,267823391,61526,,2434197,1,
1825,Better,Better,Khalid,2018-09-14,USRC11803179,736,56.5,1355539058,108485,20494060,72,1260752640,6104356,481790,128052245,1105088867,954537813,160,,193,45,816136,37,525201971,193586,,6630901,0,
1826,Talk (feat. Disclosure),Talk,Khalid,2019-07-02,USRC11900004,1065,46.4,968194426,121168,29487473,64,468753245,3701432,622138,22886397,175481915,364423555,171,301064,955,58,635116,73,374578867,177764,,5865620,0,
1828,Loca - Remix,Loca [Bad Bunny Remix],KHEA,2018-03-15,QM24S1804919,4435,19.8,376842137,48359,16671123,62,764618561,4979126,,62,1068,2338243,15,54,,7,14379,,,,,641737,1,
1829,Memories (feat. Kid Cudi),VIVA Club Rotation (Vol. 46),Kid Cudi,2008-05-12,FRZID0900480,3778,22,923932404,261469,53941189,63,589202937,3297320,818905,254252068,1972131587,146327127,64,23424,20,62,1176459,24,215592925,162928,,8619668,0,
1830,Day 'N' Nite (nightmare),Day 'N' Nite,Kid Cudi,2009-01-01,USUM70957500,4277,20.4,836986096,185976,32031700,64,348950018,2261189,27380,12146399,87179494,217960715,90,16944,205,17,219233,5,675329188,430587,3925477,2984024,1,
1831,Pursuit Of Happiness (nightmare),Man On the Moon: The End of Day,Kid Cudi,2009-01-01,USUM70981907,4330,20.2,789300127,189360,25658184,64,371080713,2632037,113602,39816397,378996312,35699431,58,2260,43,19,48063,16,441333494,633926,,2754603,1,
1832,bathroom floor,bathroom floor,Kids With Buns,2022-07-10,NLC242100307,15,301.6,297185,277,24445,12,6736502312,16785489,3,1088,22234,,1,1057,,,,,,,,3288,0,
1833,Tigini (Remix),Tigini (Remix) - Single,Kikimoteleba,2022-05-20,ES71G2217944,4199,20.6,97902676,29131,4436551,58,201368546,3657987,292,23173,334079,20853109,7,2981,,3,25321,6,,,634462,401243,0,
1836,Can We Kiss Forever?,Can We Kiss Forever?,Kina,2018-08-31,USSM11914456,815,53.7,634493511,89559,32092279,66,325005278,4709406,11714753,557393131,6459413096,12749911,48,101,43,36,344770,,34039218,29304,,8659169,0,
1837,Can We Kiss Forever?,Can We Kiss Forever?,Kina,2018-08-31,QMPKX1823521,2001,32.2,634333924,20562,4363375,,,,9900000,607950276,7021777484,,,,,1,139,9,,,,,0,
1838,Tu Aake Dekhle,The Carnival,King,2020-09-21,FRX762050882,2629,27.5,410639967,33664,5963459,69,619113386,7584160,132004,4491970,61728216,,9,508,,1,1097,6,1824,,,475672,0,
1839,Maan Meri Jaan,Champagne Talk,King,2022-12-10,INW272200083,621,61,467454503,25221,7852722,71,627711778,7180269,622000,11756945,189880241,506446,18,921,,1,1097,9,3330,,,397715,0,
1843,Crazy Story,"Grandson, Vol. 1",King Von,2019-09-20,USUYG1274314,4521,19.6,261230912,38453,1768938,65,1001379,14464,,,,,,1,,,,1,,,51869592,1184983,1,
1844,Took Her To The O,Took Her To The O,King Von,2020-02-21,USUYG1296663,772,55.1,497832707,156669,13464335,74,265905159,2363958,171287,89782204,644816718,7516419,30,939,,2,4396,10,33625448,44231,86394034,1146823,1,
1845,Sex on Fire,Balance Le Son,Kings of Leon,2008-01-01,USRC10800300,3116,24.7,1427050913,265075,101832484,79,683904891,3402940,125835,54378617,391021166,479321742,205,199456,144,161,1107380,74,160714276,421796,,8199199,0,
1847,Buga,Buga,Kizz Daniel,2022-03-05,USUYG1425645,208,105.8,86516910,30835,3440925,57,266679537,1536035,10289181,119876546,1872751535,29657775,51,13698,,9,580760,19,7380862,2596,,3876226,0,
1848,Cough,Cough,Kizz Daniel,2022-10-13,USUYG1448153,655,59.3,86103527,24888,4522560,62,211940922,1076420,3115217,71261169,1387044831,69365971,20,14428,4,6,438492,18,5049678,1949,,3663496,1,
1849,Tunnel Vision,Tunnel Vision,Kodak Black,2017-02-17,USAT21700379,3477,23.2,654828389,139540,20919688,68,97450066,884775,122425,10413135,86649600,949109,75,7257,15,19,55211,9,312321561,209828,,3010996,1,
1850,Calling My Spirit,Calling My Spirit,Kodak Black,2018-11-30,USAT21812416,1799,34.3,298721490,69136,7558306,59,162438129,1112123,4175,1012306,13981094,31915591,18,1745,,3,6878,1,157802481,36367,96277540,684516,1,
1851,ZEZE (feat. Travis Scott & Offset),ZEZE (feat. Travis Scott & Offset),Kodak Black,2018-12-10,USAT21811523,1080,46,1070685587,203323,32147932,71,494548432,4682485,1386205,55794187,463776007,84796677,82,72133,90,27,129554,14,235258481,117224,,4235259,1,
1852,Super Gremlin,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,Kodak Black,2021-10-30,USAT22107295,672,58.8,416955991,123862,25561593,63,174009595,1640732,255281,140081850,1163709610,32508,65,254615,350,20,126629,24,149887956,90700,,2259867,1,
1853,Walk,Walk/Spin,Kodak Black,2022-09-16,USAT22214755,3903,21.6,62323136,33941,10580136,54,34075392,466729,12660,2989810,25342217,26163643,6,2750,544,1,4517,,3561732,2328,10571345,288137,1,
1856,Live Another Day,Phonkageddon,Kordhell,2021-08-27,QZMEM2171029,3470,23.2,283108875,69176,20246527,66,147447678,1916013,115000,93038797,1067856594,56188,14,1,,3,91280,1,2893729,1198,,1365064,1,
1857,Murder In My Mind,Murder In My Mind,Kordhell,2022-01-21,QM4TW2218315,547,65.6,668285368,120095,62454609,74,135561359,1695128,1103489,258958538,2877613437,,21,508,338,7,127461,10,5328696,7896,38200577,2597736,1,
1859,Oh No,Cold As Ice,Kreepa,2019-12-13,USUYG1287925,473,70.6,40284121,14548,3212878,41,17978707,466425,18821381,4959548763,61088562861,994245,15,113,333,12,240117,4,384569,3503,,31859,1,
1860,Woah (feat. D3Mstreet),Woah,KRYPTO9095,2019-03-29,QZDA41998629,1315,41,92985109,21725,3265269,45,166739538,2648737,10646410,829818450,9273764020,2811433,11,,37,4,54214,3,3098187,8732,123199,2419836,1,
1861,Disaster,Disaster - Single,KSLV Noh,2021-06-21,QZHNC2184834,3784,22,258379092,72424,23939335,65,54540038,1019009,789667,165449639,1863921422,28228,12,1,,2,83044,,,,,1139004,0,
1863,Bakkal Amca,Bakkal Amca,Kukuli,2021-10-05,QZHN62167502,3775,22,5755295,850,54262,36,565493630,1545650,702,43785,1040868,,,17,,,,,,,,22228,0,
1864,This Girl (Kungs Vs. Cookin' On 3 Burners),This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,2016-02-19,FR9W11601798,1719,35.3,1121107262,193004,76999574,75,638330025,4250668,33025,11942603,188481260,85138862,305,130612,163,268,1657869,35,125847639,49094,,28279099,0,
1865,Never Going Home,Summer 2021,Kungs,2021-04-28,FR9W12110749,2539,28.1,304069347,89224,17836102,63,87407927,580798,20117,6207518,94926621,80707655,89,117243,24,53,959302,18,675312,417,948433,5206645,0,
1866,WASTE,DISORDER,Kxllswxtch,2021-10-29,USUYG1393224,2684,27.2,272051636,64633,11550020,72,39751949,818015,298019,180786694,1314232560,,3,38,,,,,399622,1480,15677219,1447289,1,
1867,Stole the Show,Stole the Show,Kygo,2015-03-23,SEBGA1500071,3913,21.6,964765127,131842,38541359,70,530786123,3134158,41292,9226363,69198449,32309986,124,36140,14,90,755576,25,75982646,37691,,12887220,0,
1868,Firestone,Running Hits - 2015.02,Kygo,2015-09-02,SEBGA1400887,1928,33,1106264600,144992,42832108,71,1040406066,4527957,19634,5987576,44057930,156656689,205,42861,,106,894320,31,110972879,328237,,17246943,0,
1869,It Ain't Me (with Selena Gomez),It Ain't Me (with Selena Gomez),Kygo,2017-02-16,SEBGA1700015,2205,30.5,1430439855,150179,55438878,71,308045364,2768168,279393,12505319,81779367,129321931,210,91638,217,110,752307,40,252544876,97039,1855783,13603866,0,
1870,Higher Love,Higher Love,Kygo,2019-06-28,USRC11901901,1875,33.6,943137389,117582,79382957,67,315848540,1595053,43336,9354620,94552478,93310119,302,243385,238,165,2663236,98,54000735,46744,,5337579,0,
1871,What's Love Got to Do with It,What's Love Got to Do with It,Kygo,2020-07-17,SEBGA2000676,4549,19.5,256297608,58370,25841346,62,66278933,517295,,,,3302263,90,220485,,61,750715,26,7386484,3123,,2387310,0,
1872,Dancing Feet (feat. DNCE),Dancing Feet (feat. DNCE),Kygo,2022-02-25,USRC12200139,4479,19.7,194708224,32664,28154571,61,20154009,183170,5040,2974319,29481029,249991266,54,158571,40,50,450408,20,5959629,1347,,1253748,0,
1875,iSpy (feat. Lil Yachty),iSpy (feat. Lil Yachty),KYLE,2016-02-12,USAT21700378,1325,40.8,960430911,121478,17895084,64,686017624,5762838,3216574,49211923,318342595,259650688,61,5,34,9,1475,,292163419,497013,,4583248,1,
1877,Steven Universe,Steven Universe,L.Dre,2020-02-21,QZFZ32084911,1245,42.4,54104852,14464,2212197,50,,,10501056,2714697966,22902123485,,5,33,,2,287,,126291,698,,503200,0,
1878,Ai Preto,Ai Preto,L7NNON,2022-03-06,BR5TG2200019,3178,24.5,219756697,31819,12504632,60,247152121,1745948,508,6297,149298,175272203,22,103,,31,353396,8,,,13400,128502,0,
1879,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),Pros Menorzin (feat. DJ Biel do Furduncinho),L7NNON,2022-08-04,BR5TG2200015,2340,29.5,86262202,17907,7303868,53,17014183,149189,3048900,208928001,2990547999,,10,330,2,37,107890,12,,,,316099,0,
1880,JGL,JGL,La Adictiva,2022-02-18,MXA411400136,3241,24.2,437825141,37050,18118265,70,138771397,987474,250537,41061849,550954115,,17,4299,,2,67662,11,44781013,14175,,641134,1,
1881,Butakera,Butakera,La Joaqui,2022-07-28,ARACN2200009,3259,24.1,127392768,22713,6540862,59,129725858,558219,897800,280690579,2966243206,7595234,5,1253,,8,41707,5,39938,55,,282479,0,
1882,Dos Besitos,Dos Besitos,La Joaqui,2022-10-27,ARACN2200010,2320,29.7,100335960,18928,3742291,56,163408340,634796,1050557,214890689,2147808820,195644977,1,2867,,4,28838,,15137,,,160060,0,
1883,Still Don't Know My Name,Euphoria (Original Score from the HBO Series),Labrinth,2019-04-10,USQX91902507,2185,30.6,666107710,127503,40134293,71,234005957,3231466,1536372,544725899,5185694852,4405061,71,1195,23,27,224993,9,3326824,15554,,4161911,0,
1884,Forever,Euphoria (Original Score from the HBO Series),Labrinth,2019-04-10,USQX91902499,2949,25.7,321892912,74664,17317980,62,71926168,1129180,3600000,905260724,11338513351,2223763,16,285,162,11,38455,3,1993633,4777,,2306775,0,
1885,Formula,Euphoria (Original Score from the HBO Series),Labrinth,2019-04-10,USQX91902497,4034,21.2,836491531,114619,24572791,79,95215206,1310860,194090,197169982,1679330230,1517468,27,155,303,22,210733,,2182680,5310,,1759253,0,
1886,Mount Everest,Mount Everest,Labrinth,2019-06-21,GBHMU1800032,2734,26.9,612159812,128472,33056872,72,218832200,3089060,911853,458425066,3490816416,3238676,32,34,301,23,112133,14,,,,4948372,1,
1888,Rubicon Drill,Forever - EP,Laddi Chahal,2022-11-16,DGA062247225,4082,21,152564352,10841,5578293,65,179053648,1433419,152500,2597157,34263765,795121,10,30,,,,4,,,,170858,0,
1889,Poker Face,The Fame,Lady Gaga,2008-01-01,USUM70824409,3302,23.9,1285242562,216338,88471248,77,256379013,2156909,265724,129356785,1231170484,316,172,287903,268,98,1410983,65,283521080,769916,,8551662,0,
1890,Just Dance,The Fame,Lady Gaga,2008-01-01,USUM70807646,3629,22.5,1062571821,183102,83157868,74,566585521,2999671,135610,86779845,623454990,175213622,166,209992,425,69,1145161,54,267910774,490969,9858069,7126620,0,
1891,Bad Romance,The Fame Monster (France FNAC Version),Lady Gaga,2009-01-01,USUM70918596,1624,36.4,1229109018,166904,87537106,77,2049116263,11229749,232899,87766017,687368332,1772021815,153,192196,290,47,370999,43,343732278,842912,,6810104,1,
1892,Million Reasons,Million Reasons,Lady Gaga,2016-06-10,USUM71609736,4175,20.7,825465124,71034,28288082,69,567425578,4410512,121710,4303879,38088467,1174849,106,4311,59,38,199760,54,158881679,90725,,4351780,0,
1893,Always Remember Us This Way,A Star Is Born Soundtrack,Lady Gaga,2018-05-10,USUM71813195,901,50.9,1269760706,137601,32384233,76,824308720,4676578,1213771,33512447,573562180,1951219741,88,66461,4,55,606748,27,322220265,104680,612635,9755956,0,
1894,Shallow,Shallow,Lady Gaga,2018-09-27,USUM71813192,204,106.9,2447973078,221822,90174192,78,2732311956,15274815,52698,11103476,168789459,2310840501,261,228874,135,158,1551217,95,387105091,651760,1196386,153863,0,
1895,Stupid Love,Stupid Love,Lady Gaga,2020-02-28,USUM71917357,4524,19.6,377746254,41379,13698064,62,192582605,2080748,42881,11641151,102362534,297125949,111,189664,145,68,351648,60,28518146,18525,,1998557,0,
1896,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),Lady Gaga,2020-05-22,USUM72004304,951,49.3,1060378159,104647,55948663,68,514581598,6465409,442243,80912710,538854965,382160207,320,354978,438,143,2320730,105,62220803,71438,,3888061,0,
1897,Hold My Hand,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")",Lady Gaga,2022-03-05,USUM72206231,759,55.7,315680664,50632,13985305,69,317472115,2373170,129481,23093203,424398738,5867793586,48,266181,421,27,243087,42,45731400,18758,,5802558,0,
1899,Heart Like A Truck,Heart Like A Truck,Lainey Wilson,2022-05-20,QMRSZ2200986,1906,33.2,156975001,21559,5658951,68,96079749,597275,192794,29435568,313652545,328117737,,256048,130,3,87459,,35986096,37567,1447109,,0,
1900,Watermelon Moonshine,Songs From Bell Bottom Country,Lainey Wilson,2022-12-08,QMRSZ2201709,4338,20.2,129635815,17482,10666210,70,33423008,161494,13005,3420396,60524288,317974178,,132594,20,1,2581,,18931295,21657,,,0,
1902,Summertime Sadness,Born To Die (Deluxe Version),Lana Del Rey,2011-01-01,GBUM71111565,2606,27.7,1442872605,204954,53282968,79,572303765,6181000,423666,173066210,1549975311,329452348,115,10698,224,65,1116035,71,326465544,478081,7979390,8122251,0,
